#,date,time,home,away,league,H,D,A
47,3 May,15:00,FC Fredericia,Copenhagen,Denmark - Superliga,5.0,4.5,1.52
48,3 May,15:15,Getafe,Rayo Vallecano,Spain - LaLiga,1.98,3.36,4.59
49,3 May,15:30,Man Utd,Liverpool,England - Premier League,2.34,3.91,2.97
50,3 May,15:30,IF Elfsborg,AIK,Sweden - Allsvenskan,2.6,3.3,2.75
51,3 May,16:00,FC Dynamo Kyiv,Shakhtar D,Ukraine - Premier League,2.8,3.4,2.3
52,3 May,16:15,AJ Auxerre,Angers,France - Ligue 1,1.71,3.86,5.65
53,3 May,16:15,Paris FC,Brest,France - Ligue 1,2.08,3.62,3.81
54,3 May,16:15,Strasbourg,Toulouse,France - Ligue 1,2.92,3.67,2.47
55,3 May,16:30,Borussia M'gladbach,Borussia Dortmund,Germany - Bundesliga,3.8,3.99,1.97
56,3 May,17:00,Juventus,Hellas Verona,Italy - Serie A,1.22,7.24,15.39
57,3 May,17:00,PAOK,Olympiacos,Greece - Super League,3.2,3.2,2.35
58,3 May,17:30,Betis,Real Oviedo,Spain - LaLiga,1.6,4.32,6.09
59,3 May,17:30,RSC Anderlecht,Brugge,Belgium - Pro League,4.3,4.25,1.74
